VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
23/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0328
26/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
27/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
28/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0328
29/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0328
30/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0328
02/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
03/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0328
04/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
05/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
06/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
09/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
10/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
11/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
12/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
13/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
16/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
17/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
18/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
19/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
20/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
